Type1,regionExp_response_3.rt,regionExp_response_4.rt,Type2,regionExp_response_3.rt,regionExp_response_4.rt,OmS_3,OmS_4,OmS_4minus3,Participant
O,0.413235903,0.512940884,S,0.294327021,0.396028042,0.118908882,0.116912842,-0.00199604,17
O,0.631083965,0.980702162,S,0.32839179,0.79373908,0.302692175,0.186963082,-0.115729093,17
O,1.01444602,0.478438139,S,0.479220152,0.629207134,0.535225868,-0.150768995,-0.685994863,17
O,0.31269598,0.528814077,S,0.278601885,0.930972815,0.034094095,-0.402158738,-0.436252833,17
O,0.495326996,0.445682049,S,0.344889164,0.345016956,0.150437832,0.100665093,-0.049772739,17
O,1.533568859,0.980635881,S,1.081068993,2.020322084,0.452499866,-1.039686203,-1.492186069,17
O,0.345005989,0.478411198,S,0.311563015,1.298851967,0.033442974,-0.820440769,-0.853883743,17
O,0.595628977,0.429022074,S,0.394952059,0.413555861,0.200676918,0.015466213,-0.185210705,17
O,0.698096991,0.646738052,S,0.479259968,0.931910992,0.218837023,-0.28517294,-0.504009963,18
O,0.34464407,0.350310087,S,0.61314702,0.612619162,-0.26850295,-0.262309075,0.006193875,18
O,0.345189095,0.328421831,S,1.416311026,0.763149977,-1.071121931,-0.434728146,0.636393785,18
O,0.562026024,0.51235795,S,0.446003914,0.629170179,0.11602211,-0.116812229,-0.232834339,18
O,3.791671991,0.847645044,S,0.361735106,0.396370888,3.429936885,0.451274156,-2.978662729,18
O,1.133280993,0.478835106,S,0.545528173,0.631235123,0.58775282,-0.152400017,-0.740152837,18
O,1.132905006,0.930853128,S,0.19435811,0.798139811,0.938546896,0.132713317,-0.805833579,18
O,0.831885099,0.879615068,S,0.42849493,0.363579035,0.403390169,0.516036033,0.112645864,18
O,0.714590788,1.416360855,S,0.562463999,1.21668911,0.152126789,0.199671745,0.047544956,18
O,0.514052153,0.528758049,S,0.83062315,0.495895147,-0.316570997,0.032862902,0.349433899,18
O,0.413144827,0.495164871,S,0.611811161,1.466594934,-0.198666334,-0.971430063,-0.772763729,19
O,0.896247864,0.696178913,S,0.462013006,0.479764938,0.434234858,0.216413975,-0.217820883,19
O,2.57011199,0.445203066,S,0.979303837,1.448888063,1.590808153,-1.003684997,-2.59449315,19
O,0.58000803,0.428092003,S,0.662268162,0.846039057,-0.082260132,-0.417947054,-0.335686922,19
O,0.461606979,0.378982067,S,0.428465843,0.410748005,0.033141136,-0.031765938,-0.064907074,19
O,0.368714094,0.547814131,S,0.427870989,0.494786024,-0.059156895,0.053028107,0.112185002,19
O,0.359603167,0.361786842,S,0.394956112,0.528727055,-0.035352945,-0.166940213,-0.131587268,19
O,0.396229029,0.360863924,S,0.561894894,0.88152504,-0.165665865,-0.520661116,-0.354995251,19
O,0.47832489,0.411053896,S,0.445235014,0.645608187,0.033089876,-0.234554291,-0.267644167,19
O,0.494659901,0.612202883,S,0.3781991,0.360971928,0.116460801,0.251230955,0.134770154,19
O,0.763762951,1.347896814,S,0.461667061,1.381524086,0.30209589,-0.033627272,-0.335723162,20
O,0.52842021,0.729701042,S,1.097018957,3.320622921,-0.568598747,-2.590921879,-2.022323132,20
O,0.79664588,0.84600997,S,0.428645134,0.747478962,0.368000746,0.098531008,-0.269469738,20
O,0.530082941,0.645455122,S,0.378603935,0.628679991,0.151479006,0.016775131,-0.134703875,20
O,0.741231918,0.612693071,S,0.444857121,0.545348883,0.296374797,0.067344188,-0.229030609,20
O,0.56319499,0.461827993,S,1.130717039,0.628792048,-0.567522049,-0.166964055,0.400557994,20
O,0.876677036,0.763117075,S,0.378002882,1.566282034,0.498674154,-0.803164959,-1.301839113,20
O,0.412089825,0.628524065,S,0.445425034,1.566385984,-0.033335209,-0.937861919,-0.90452671,20
O,0.695362091,2.200845003,S,0.50774312,1.364323139,0.187618971,0.836521864,0.648902893,20
O,0.477969885,0.913263083,S,0.946712017,1.650036097,-0.468742132,-0.736773014,-0.268030882,20
O,0.445333004,0.595561028,S,0.495618105,0.446606159,-0.050285101,0.148954869,0.19923997,21
O,1.347505093,0.562423229,S,3.421341896,0.963114977,-2.073836803,-0.400691748,1.673145055,21
O,0.561728954,1.331326962,S,0.524389982,0.378246784,0.037338972,0.953080178,0.915741206,21
O,0.628998995,0.612370968,S,2.902746916,10.5608871,-2.273747921,-9.948516132,-7.674768211,21
O,1.097171783,0.428251028,S,2.083303928,3.956026793,-0.986132145,-3.527775765,-2.54164362,21
O,0.463358879,0.478191853,S,1.648085833,6.246995926,-1.184726954,-5.768804073,-4.584077119,21
O,4.858351946,1.147274971,S,0.612634897,0.546644926,4.245717049,0.600630045,-3.645087004,21
O,0.58019805,0.427453995,S,0.495445967,0.645231962,0.084752083,-0.217777967,-0.30253005,21
O,0.847781897,0.545243025,S,0.561857939,3.353806973,0.285923958,-2.808563948,-3.094487906,21
O,0.863812923,0.562368155,S,1.364021063,2.284878969,-0.50020814,-1.722510814,-1.222302674,21
O,0.8967278,1.080378056,S,0.829837084,0.713534832,0.066890716,0.366843224,0.299952508,22
O,0.745831013,0.745549917,S,1.531631947,1.097042084,-0.785800934,-0.351492167,0.434308767,22
O,1.248996019,0.54524684,S,0.545302868,0.57930088,0.703693151,-0.03405404,-0.737747191,22
O,1.232281923,0.930080891,S,0.679711103,1.967943907,0.55257082,-1.037863016,-1.590433836,22
O,1.148583174,0.997100115,S,2.317894936,1.984544039,-1.169311762,-0.987443924,0.181867838,22
O,0.361555099,0.361583948,S,0.528153896,1.014770031,-0.166598797,-0.653186083,-0.486587286,22
O,1.048494101,1.93269515,S,0.712308884,0.546621084,0.336185217,1.386074066,1.049888849,22
O,2.820590019,0.512035847,S,0.545021057,0.746175051,2.275568962,-0.234139204,-2.509708166,22
O,0.628664017,0.495218039,S,0.545342922,0.462946892,0.083321095,0.032271147,-0.051049948,22
O,1.800606012,0.679270983,S,1.063817978,0.729171038,0.736788034,-0.049900055,-0.786688089,22
O,0.279501915,0.328167915,S,0.161175966,0.446181059,0.118325949,-0.118013144,-0.236339093,23
O,0.662456989,0.361091852,S,0.211390018,0.311436892,0.451066971,0.04965496,-0.401412011,23
O,0.337801933,0.277924061,S,0.528625965,0.277835846,-0.190824032,8.82E-05,0.190912247,23
O,0.227017879,0.327724934,S,0.319872141,0.309791088,-0.092854262,0.017933846,0.110788108,23
O,0.41319108,0.908825159,S,0.478089094,1.214193821,-0.064898014,-0.305368662,-0.240470648,23
O,0.211094856,0.54499197,S,0.378997087,0.83121109,-0.167902231,-0.28621912,-0.118316889,23
O,0.162318945,0.110808134,S,0.194319963,1.148528099,-0.032001018,-1.037719965,-1.005718947,23
O,0.145354033,0.544784069,S,0.227866173,0.329591036,-0.08251214,0.215193033,0.297705173,23
O,0.512197018,0.461391926,S,0.160653114,0.175867081,0.351543904,0.285524845,-0.066019059,23
O,0.494795084,0.428101063,S,0.311306953,0.327842951,0.183488131,0.100258112,-0.083230019,23
O,0.379688025,0.428285122,S,0.545557976,0.479302168,-0.165869951,-0.051017046,0.114852905,24
O,0.613267183,0.529119015,S,0.428595066,0.546864986,0.184672117,-0.017745971,-0.202418088,24
O,0.395246983,0.511923075,S,0.344985008,0.713917017,0.050261975,-0.201993942,-0.252255917,24
O,0.42899704,0.445281029,S,0.445225954,0.446536064,-0.016228914,-0.001255035,0.014973879,24
O,0.446588993,0.428105116,S,0.562155962,0.511788845,-0.115566969,-0.083683729,0.03188324,24
O,0.395982027,0.495774984,S,0.361574173,0.396015167,0.034407854,0.099759817,0.065351963,24
O,0.512027979,0.428200006,S,0.461472988,0.529115915,0.050554991,-0.100915909,-0.1514709,24
O,0.394407988,0.528120995,S,0.411358118,0.879086018,-0.01695013,-0.350965023,-0.334014893,24
O,1.097992897,0.445122004,S,0.328299046,0.329438925,0.769693851,0.115683079,-0.654010772,24
O,0.996119022,0.511869907,S,0.424278975,0.511927128,0.571840047,-5.72E-05,-0.571897268,24
O,0.36294508,0.37853694,S,0.579005957,0.328268051,-0.216060877,0.050268889,0.266329766,25
O,0.513360977,0.930268049,S,2.200586081,0.495208025,-1.687225104,0.435060024,2.122285128,25
O,1.383064032,0.445001841,S,0.545340776,0.411631107,0.837723256,0.033370734,-0.804352522,25
O,0.394251108,0.528853893,S,0.32814312,0.463384151,0.066107988,0.065469742,-0.000638246,25
O,0.327991009,0.629179955,S,0.562625885,0.730682135,-0.234634876,-0.10150218,0.133132696,25
O,0.379748106,0.461298943,S,3.120634794,1.416182041,-2.740886688,-0.954883098,1.78600359,25
O,0.329159021,1.264166117,S,0.394909143,0.931159973,-0.065750122,0.333006144,0.398756266,25
O,0.428679943,0.628454208,S,1.916741133,0.896592855,-1.48806119,-0.268138647,1.219922543,25
O,1.013231993,0.34455204,S,0.562121868,0.479974985,0.451110125,-0.135422945,-0.58653307,25
O,0.429265022,0.411557913,S,1.531746149,1.232437134,-1.102481127,-0.820879221,0.281601906,25
O,2.824055195,0.847486019,S,0.462517977,0.512346029,2.361537218,0.33513999,-2.026397228,26
O,3.022410154,0.51275301,S,3.424156904,3.508392096,-0.40174675,-2.995639086,-2.593892336,26
O,2.738279104,0.796689034,S,0.679487944,0.62946105,2.05879116,0.167227984,-1.891563176,26
O,0.630790949,0.445898056,S,0.596029997,0.564357042,0.034760952,-0.118458986,-0.153219938,26
O,0.964248896,1.349391937,S,0.997505903,0.612724066,-0.033257007,0.736667871,0.769924878,26
O,0.363003969,0.512842178,S,0.378170013,0.396348,-0.015166044,0.116494178,0.131660222,26
O,0.478698969,0.391206026,S,0.462407112,0.39474988,0.016291857,-0.003543854,-0.019835711,26
O,0.428828955,0.428787947,S,0.663079977,0.714370012,-0.234251022,-0.285582065,-0.051331043,26
O,0.809911013,0.545849085,S,0.395740986,0.413168907,0.414170027,0.132680178,-0.281489849,26
O,0.378553152,0.495564938,S,0.395447969,0.59573698,-0.016894817,-0.100172042,-0.083277225,26
O,0.74595499,0.79202199,S,0.428676128,0.864499092,0.317278862,-0.072477102,-0.389755964,27
O,0.878975868,1.248228073,S,0.763514996,2.551981211,0.115460872,-1.303753138,-1.41921401,27
O,0.645445108,0.829529047,S,0.427988052,0.66405201,0.217457056,0.165477037,-0.051980019,27
O,0.763679981,1.314689159,S,0.545522928,0.996752024,0.218157053,0.317937135,0.099780082,27
O,0.730746031,0.796559095,S,0.411717892,1.449253082,0.319028139,-0.652693987,-0.971722126,27
O,1.665911198,0.595414162,S,0.662143946,1.68420887,1.003767252,-1.088794708,-2.09256196,27
O,0.494607925,0.529069185,S,0.462097168,0.578572989,0.032510757,-0.049503804,-0.082014561,27
O,0.613786936,1.36413908,S,0.478608131,2.133262157,0.135178805,-0.769123077,-0.904301882,27
O,0.446511984,1.047216177,S,0.411864042,0.411495209,0.034647942,0.635720968,0.601073026,27
O,0.578685045,0.662037134,S,0.478224039,1.197229147,0.100461006,-0.535192013,-0.635653019,27
O,0.52700305,0.695743084,S,0.277822971,0.362436056,0.249180079,0.333307028,0.084126949,28
O,0.494701862,0.963073015,S,0.429020882,0.427858114,0.06568098,0.535214901,0.469533921,28
O,0.762398958,0.645339012,S,0.394745827,0.964957952,0.367653131,-0.31961894,-0.687272071,28
O,0.713974953,0.578463078,S,0.478591919,0.529757023,0.235383034,0.048706055,-0.186676979,28
O,0.547071934,0.628591061,S,1.866769075,0.613353968,-1.319697141,0.015237093,1.334934234,28
