RC1,NPorV,REG,log_NPorV,unlogged,Item,Participant
O,V,R4,2.35767395,0.227863073,33,42
O,V,R4,2.289176592,0.194615126,53,42
O,V,R4,2.35891862,0.228517056,43,42
O,V,R4,2.736472932,0.545095921,28,43
O,V,R4,2.936046507,0.863070965,48,43
O,V,R4,2.648818322,0.445469856,68,43
O,V,R4,2.680061627,0.478698015,8,43
O,V,R4,2.557318216,0.360842943,88,43
O,V,R4,2.72297844,0.528419018,43,43
O,V,R4,2.55811807,0.361508131,3,43
O,V,R4,2.614568051,0.411687851,23,43
O,V,R4,2.736488888,0.545115948,83,43
O,V,R4,2.709506582,0.512279034,63,43
O,V,R4,2.798598753,0.628924847,63,44
O,V,R4,2.798736861,0.62912488,73,44
O,V,R4,2.809972236,0.645612955,33,44
O,V,R4,2.991234008,0.9800179,43,44
O,V,R4,2.64369858,0.440249205,13,44
O,V,R4,2.664430477,0.461775064,83,44
O,V,R4,2.648481855,0.445124865,53,44
O,V,R4,2.694862313,0.49529314,3,44
O,V,R4,2.736424491,0.545035124,23,44
O,V,R4,2.723044078,0.528498888,93,44
O,V,R4,2.615046914,0.412142038,83,45
O,V,R4,2.749927913,0.562247992,63,45
O,V,R4,2.842858717,0.696399927,43,45
O,V,R4,3.194795654,1.566014051,68,45
O,V,R4,2.936087775,0.863152981,23,45
O,V,R4,3.005445978,1.01261878,88,45
O,V,R4,2.944399768,0.879832029,48,45
O,V,R4,2.960721393,0.913527012,3,45
O,V,R4,2.61475061,0.411860943,28,45
O,V,R4,2.648464408,0.445106983,8,45
O,V,R4,2.842394573,0.695656061,98,46
O,V,R4,2.665241209,0.462637901,18,46
O,V,R4,2.749863083,0.562164068,78,46
O,V,R4,2.918887016,0.829634905,38,46
O,V,R4,3.428911616,2.684798002,23,46
O,V,R4,2.723437504,0.528977871,83,46
O,V,R4,2.927535661,0.84632206,43,46
O,V,R4,3.190043804,1.548972845,3,46
O,V,R4,2.664805453,0.462173939,58,46
O,V,R4,2.709399847,0.512153149,63,46
O,V,R4,2.873163651,0.746730089,58,47
O,V,R4,3.176159869,1.500236988,18,47
O,V,R4,3.156186457,1.432802916,38,47
O,V,R4,2.919349552,0.830518961,33,47
O,V,R4,2.63180672,0.42835784,13,47
O,V,R4,2.208854742,0.161753893,53,47
O,V,R4,2.207413335,0.161217928,73,47
O,V,R4,2.516675659,0.328606129,93,47
O,V,R4,2.208344898,0.161564112,78,47
O,V,R4,2.417214442,0.261345148,98,47
O,V,R4,2.775265164,0.596025944,53,48
O,V,R4,2.821479395,0.662947893,33,48
O,V,R4,2.558966482,0.362215042,93,48
O,V,R4,2.736559733,0.545204878,8,48
O,V,R4,2.723747842,0.529356003,73,48
O,V,R4,2.660602643,0.457722902,48,48
O,V,R4,2.762917772,0.579319,88,48
O,V,R4,2.694947181,0.495389938,28,48
O,V,R4,2.832243162,0.679584026,68,48
O,V,R4,2.750207378,0.562609911,13,48
O,V,R4,2.596941124,0.395313025,18,49
O,V,R4,2.615036363,0.412132025,58,49
O,V,R4,2.680364562,0.47903204,78,49
O,V,R4,2.664636496,0.461994171,88,49
O,V,R4,2.737211799,0.546024084,28,49
O,V,R4,2.710194471,0.513091087,38,49
O,V,R4,2.85331228,0.713365793,98,49
O,V,R4,2.664977255,0.462356806,68,49
O,V,R4,2.832464794,0.679930925,8,49
O,V,R4,2.493368726,0.311435938,48,49
O,V,R4,2.722964527,0.52840209,98,50
O,V,R4,2.762818742,0.579186916,18,50
O,V,R4,2.648213564,0.444849968,38,50
O,V,R4,2.820920354,0.66209507,78,50
O,V,R4,2.679779259,0.478386879,58,50
O,V,R4,2.648395079,0.445035934,8,50
O,V,R4,2.661001052,0.458142996,88,50
O,V,R4,2.68010986,0.478751183,68,50
O,V,R4,2.631573636,0.428128004,48,50
O,V,R4,2.736705565,0.545387983,28,50
O,V,R4,2.558055626,0.361456156,18,51
O,V,R4,2.709091018,0.511789083,78,51
O,V,R4,2.648578613,0.445224047,3,51
O,V,R4,2.64858745,0.445233107,38,51
O,V,R4,2.596542022,0.394949913,83,51
O,V,R4,2.596252753,0.394686937,58,51
O,V,R4,2.596325416,0.394752979,98,51
O,V,R4,2.927628511,0.846503019,43,51
O,V,R4,2.708581486,0.511188984,23,51
O,V,R4,2.79908054,0.629622936,63,51
O,V,R4,2.325896823,0.211785793,68,52
O,V,R4,2.558604143,0.361912966,73,52
O,V,R4,2.596928027,0.395301104,93,52
O,V,R4,2.665260233,0.462658167,28,52
O,V,R4,2.873537326,0.747372866,53,52
O,V,R4,2.664586514,0.461941004,8,52
O,V,R4,2.999073122,0.997868061,48,52
O,V,R4,2.936542905,0.864058018,33,52
O,V,R4,3.020443715,1.048198938,13,52
O,V,R4,2.709678555,0.512481928,88,52
O,V,R4,2.901435937,0.796958923,88,53
O,V,R4,3.047209861,1.114833117,38,53
O,V,R4,2.821519377,0.663008928,18,53
O,V,R4,3.230559285,1.700432062,98,53
O,V,R4,3.318918108,2.084097862,78,53
O,V,R4,2.953025246,0.897480965,28,53
O,V,R4,2.762973892,0.579393864,58,53
O,V,R4,3.480340895,3.022323132,8,53
O,V,R4,3.146003943,1.399600029,68,53
O,V,R4,3.171208534,1.483230114,48,53
O,V,R4,3.193995667,1.563132048,53,54
O,V,R4,2.578167894,0.378588915,88,54
O,V,R4,2.648483018,0.445126057,8,54
O,V,R4,2.388056757,0.24437499,33,54
O,V,R4,2.32282099,0.210291147,73,54
O,V,R4,2.288405508,0.194269896,48,54
O,V,R4,2.416620534,0.260987997,13,54
O,V,R4,2.991190582,0.97991991,28,54
O,V,R4,2.32402713,0.210875988,93,54
O,V,R4,2.249738807,0.177721024,68,54
O,V,R4,2.762934394,0.579341173,85,1
O,V,R4,2.952839458,0.897097111,95,1
O,V,R4,2.787583029,0.613173008,35,1
O,V,R4,2.750356427,0.56280303,15,1
O,V,R4,2.665030999,0.462414026,65,1
O,V,R4,3.072529663,1.181761026,55,1
O,V,R4,2.910546491,0.813853979,75,1
O,V,R4,3.084625247,1.215137005,45,1
O,V,R4,2.81025137,0.646028042,25,1
O,V,R4,2.578396205,0.378787994,5,1
O,V,R4,2.206575019,0.16090703,35,2
O,V,R4,2.24926196,0.177525997,55,2
O,V,R4,2.288968512,0.194521904,50,2
O,V,R4,2.248909528,0.177381992,15,2
O,V,R4,2.664405139,0.461748123,70,2
O,V,R4,2.248500138,0.177214861,75,2
O,V,R4,2.249506861,0.177626133,95,2
O,V,R4,2.288231185,0.194191933,90,2
O,V,R4,2.205923952,0.160665989,30,2
O,V,R4,2.55820542,0.361580849,10,2
O,V,R4,2.55743499,0.36093998,55,3
O,V,R4,2.91018298,0.813173056,70,3
O,V,R4,3.175659059,1.498507977,10,3
O,V,R4,2.64642624,0.443022966,30,3
O,V,R4,2.872642798,0.745835066,15,3
O,V,R4,2.983716946,0.963201046,75,3
O,V,R4,2.67974506,0.478349209,35,3
O,V,R4,2.99112052,0.979761839,50,3
O,V,R4,2.787028796,0.612390995,95,3
O,V,R4,2.722837136,0.528247118,90,3
O,V,R4,2.75045135,0.562926054,60,4
