Rctype,RC1,RC2,Group,Num,Item,Participant,V1,V2,V3,V4,Matching,CORR,regionExp_response_1.rt,regionExp_response_2.rt,regionExp_response_3.rt,regionExp_response_4.rt,regionExp_response_5.rt,regionExp_response_6.rt,regionExp_response_7.rt,regionExp_response_8.rt,regionExp_response_9.rt,regionExp_response_10.rt,Q_Exp_reponse_1.keys,Q_Exp_reponse_1.rt,log_R1,log_R2,log_R3,log_R4,log_R5,log_R6,log_R7,log_R8,log_R9,log_R10,R23467810,log_R23467810,R234678,log_R234678,RC1_rt,log_RC1_rt,RC2_rt,log_RC2_rt,R3478,log_R3478,R78,log_R78,R34,log_R34
SS,S,S,12,45,57,2,0,1,0,0,mismatch1,1,0.25939393,0.329065084,0.562258959,0.308344126,0.574690104,0.663619995,0.696218014,0.343384981,0.477310181,0.376102209,n,1.098763943,2.413959809,2.517281803,2.749936384,2.489035679,2.759433719,2.821919463,2.842745256,2.535781296,2.678800698,2.575305884,3.278993368,3.515740538,2.902891159,3.462830753,1.199668169,3.079061136,1.70322299,3.231271511,1.91020608,3.281080223,1.039602995,3.016867522,0.870603085,2.939820202
SS,S,S,1,1,2,2,1,0,0,0,match,1,0.259571075,0.630176067,0.443691015,0.359656096,0.443289995,0.345704079,0.378182888,0.677664995,0.341882944,0.409579039,y,3.525572062,2.414256296,2.799461905,2.647080634,2.555887426,2.646687929,2.538704504,2.577701874,2.831015053,2.533877435,2.612337723,3.244654179,3.511168416,2.83507514,3.452564574,1.433523178,3.156404719,1.401551962,3.146609204,1.859194994,3.269324941,1.055847883,3.023601353,0.803347111,2.904903236
OS,O,S,20,80,100,2,1,0,0,0,mismatch2,1,0.292987823,0.680219173,0.66023016,0.378445148,0.474354982,0.446302176,0.361491203,0.409646034,0.443737984,0.425149918,n,4.025527,2.466849571,2.832648869,2.819695359,2.578002942,2.676103466,2.649629004,2.558097733,2.612408755,2.647126606,2.6285421,3.361483812,3.526531024,2.936333894,3.467805438,1.718894481,3.235249217,1.217439413,3.085447357,1.809812545,3.257633594,0.771137237,2.887131675,1.038675308,3.016479807
SO,S,O,18,71,89,2,0,1,0,0,match,1,0.293007135,0.512800932,0.494846106,0.744576931,0.712092876,1.399566174,0.728046894,1.582945108,0.977758884,0.442942142,y,4.53935194,2.466878196,2.709948806,2.694470157,2.871909576,2.852536641,3.145993438,2.862159353,3.199465855,2.990231771,2.646347002,5.905724287,3.771273168,5.462782145,3.737413881,1.752223969,3.243589617,3.710558176,3.569439245,3.550415039,3.550279124,2.310992002,3.363798442,1.239423037,3.093219564
OO,O,O,10,38,48,2,1,0,0,0,match,1,0.326122046,0.463016987,0.577136993,0.445339203,0.41098094,0.446302176,0.476010084,0.344835997,0.392241955,0.426364899,y,4.946696997,2.513380158,2.665596925,2.761278912,2.648690928,2.613821681,2.649629004,2.677616153,2.537612595,2.593554045,2.629781444,3.179006339,3.502291394,2.75264144,3.439749644,1.485493183,3.171870663,1.267148257,3.102827431,1.843322277,3.265601272,0.820846081,2.914261729,1.022476196,3.009653206
OO,O,O,1,2,3,2,0,1,0,0,match,1,0.343516111,0.630129099,0.509641886,0.445132971,0.543188095,0.42918396,0.4602561,0.444923878,0.593277931,0.543581009,y,5.868899822,2.53594711,2.799429536,2.707265114,2.648489764,2.734950243,2.632643483,2.662999553,2.648285714,2.773258194,2.735264275,3.462848903,3.539433542,2.919267894,3.465273951,1.584903956,3.200002949,1.334363938,3.125274296,1.859954835,3.269502398,0.905179978,2.956734939,0.954774857,2.979900974
OS,O,S,3,12,15,2,0,1,0,0,mismatch1,1,0.360303879,0.379225969,0.477278948,0.411369085,0.660033941,0.429177999,0.411973953,0.342226028,0.441956043,0.442928791,n,10.41553903,2.556668938,2.57889807,2.678772279,2.614231651,2.819566269,2.632637451,2.614869759,2.534313037,2.645379077,2.646333911,2.894180773,3.461525654,2.451251982,3.389387958,1.267874002,3.103076097,1.18337798,3.073123484,1.642848014,3.215597387,0.754199981,2.877486517,0.888648033,2.948729784
OS,O,S,16,64,80,2,1,0,0,0,mismatch2,1,0.393341064,0.445759058,0.40978694,0.746811867,0.541091919,0.479402065,0.46194005,0.326117992,0.510863066,0.392755032,n,3.311240196,2.594769288,2.649100177,2.612558113,2.87321121,2.733271048,2.6806999,2.664585617,2.51337476,2.708304506,2.594121758,3.262573004,3.513560238,2.869817972,3.457854351,1.602357865,3.204759516,1.267460107,3.102934299,1.944656849,3.288842978,0.788058042,2.896558205,1.156598807,3.06318274
OS,O,S,12,48,60,2,1,0,0,0,mismatch2,1,0.393368006,0.345473051,0.393668175,0.478846073,0.674975872,0.462918997,0.445343018,0.460458994,0.728070974,0.643485069,n,5.280817986,2.594799034,2.538414175,2.595130307,2.68019593,2.829288249,2.665505003,2.648694648,2.66319096,2.862173717,2.808538474,3.230193377,3.509228522,2.586708308,3.412747458,1.217987299,3.08564276,1.368721009,3.136314933,1.77831626,3.250008999,0.905802012,2.957033281,0.872514248,2.940772528
OS,O,S,8,32,40,2,1,0,0,0,mismatch2,1,0.426015854,0.362269163,0.343370914,0.528924942,0.608241081,0.54638505,0.562526941,0.376224995,0.477190971,0.442786932,n,2.539232016,2.629425761,2.559031368,2.535763504,2.723394047,2.784075749,2.737498808,2.750143327,2.575447645,2.678692218,2.646194795,3.162488937,3.500029015,2.719702005,3.434521321,1.234565019,3.091513967,1.485136986,3.171766514,1.811047792,3.257929911,0.938751936,2.972550846,0.872295856,2.940663809
